0,0,0,0.4696
0.1,0.00235,0.049696,0.46956
0.2,0.00939,0.09391,0.46931
0.3,0.02113,0.14081,0.46861
0.4,0.03755,0.18761,0.46725
0.5,0.05864,0.23423,0.46503
0.6,0.08439,0.28053,0.46173
0.7,0.11474,0.32653,0.45718
0.8,0.14967,0.37196,0.45119
0.9,0.18911,0.41672,0.44363
1,0.23299,0.46063,0.43438
1.1,0.28121,0.50354,0.42337
1.2,0.33366,0.54525,0.41057
1.3,0.39021,0.58599,0.39598
1.4,0.45072,0.62439,0.37969
1.5,0.51503,0.66147,0.3618
1.6,0.58296,0.6967,0.34249
1.7,0.6543,0.72993,0.32195
1.8,0.72887,0.76106,0.30045
1.9,0.80644,0.79,0.27825
2,0.8868,0.81669,0.25567
2.2,1.05495,0.8633,0.21058
2.4,1.23153,0.90107,0.16756
2.6,1.41482,0.9306,0.12861
2.8,1.60328,0.95288,0.09511
3,1.79557,0.96905,0.06771
3.2,1.99058,0.98037,0.04637
3.4,2.18747,0.98797,0.03054
3.6,2.38559,0.99289,0.01933
3.8,2.5845,0.99594,0.01176
4,2.78388,0.99777,0.00687
4.2,2.98355,0.99882,0.00386
4.4,3.18338,0.9994,0.00208
4.6,3.38329,0.9997,0.00108
4.8,3.58325,0.99986,0.00054
5,3.78323,0.99994,0.00026
5.2,3.98322,0.999971,0.000119
5.4,4.18322,0.999988,0.000052
5.6,4.38322,0.999995,0.000022
5.8,4.58322,0.999998,0.000009
6,4.78322,0.999999,0.000003
